Adresse,Inhaltstyp,Status-Code,Status,Indexierbarkeit,Indexierbarkeitsstatus,Titel 1,Länge von Titel 1,Pixelbreite von Titel 1,Meta Description 1,Länge von Meta Description 1,Pixelbreite von Meta Description 1,Meta Keywords 1,Länge der Meta Keywords 1,H1-1,Länge von H1-1,H2-1,Länge von H2-1,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical-Linkelement 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml-Linkelement,Größe (Bytes),Übertragen (Bytes),Total Transferred (bytes),CO₂ (mg),CO2-Bewertung,Wortanzahl,Sätze zählen,Durchschnittliche Wörter pro Satz,Flesch Reading Ease-Punktzahl,Lesbarkeit,Textanteil,Crawltiefe,Ordnertiefe,Link Score,Inlinks,Einzigartige Inlinks,Einzigartige JS-Inlinks,% von Gesamt,Outlinks,Einzigartige Outlinks,Einzigartige JS-Outlinks,Externe Outlinks,Einzigartige externe Outlinks,Einzigartige externe JS-Outlinks,Engste Ähnlichkeitsübereinstimmung,Anzahl der Nahduplikate,Rechtschreibfehler,Grammatikfehler,Hash,Antwortzeit,Last Modified,Umleitungs-URL,Umleitungs-Typ,Cookies,Language,HTTP-Version,Klicks,Impressionen,CTR,Position,Performance Score,First Contentful Paint-Zeit (ms),Speed Index-Zeit (ms),Largest Contentful Paint-Zeit (ms),Time to Interactive (ms),Total Blocking Time (ms),Cumulative Layout Shift,Größenersparnis insgesamt (Bytes),Zeitersparnis insgesamt (ms),Anfragen insgesamt,Gesamtgröße der Seite (Bytes),HTML-Größe (Bytes),HTML-Anzahl,Bild-Größe (Bytes),Bild-Anzahl,CSS-Größe (Bytes),CSS-Anzahl,JavaScript-Größe (Bytes),JavaScript-Anzahl,Schriftart-Größe (Bytes),Schriftart-Anzahl,Medien-Größe (Bytes),Medien-Anzahl,Andere-Größe (Bytes),Andere-Anzahl,Drittanbieter-Größe (Bytes),Drittanbieter-Anzahl,Core Web Vitals-Bewertung,CrUX Largest Contentful Paint-Zeit (ms),CrUX Interaction to Next Paint (ms),CrUX Cumulative Layout Shift,CrUX First Contentful Paint-Zeit (ms),CrUX First Input Delay-Zeit (ms),Ersparnis durch die Eliminierung von Render-Blocking-Ressourcen (ms),Ersparnis durch späteres Laden nicht sichtbarer Bilder (ms),Ersparnis durch die effiziente Komprimierung von Bildern (ms),Ersparnis durch die Speicherung von Bildern in der richtigen Größe (ms),Ersparnis durch die Minimierung von CSS (ms),Ersparnis durch die Minimierung von JavaScript (ms),Reduzieren Sie ungenutzte CSS-Einsparungen (ms),Reduzieren Sie ungenutzte JavaScript-Einsparungen (ms),Ersparnis durch die Bereitstellung von Bildern in Next-Gen-Formaten (ms),Ersparnis durch die Aktivierung der Textkomprimierung (ms),Ersparnis durch Vorabverbindung zu erforderlichen Quellen (ms),Server-Reaktionszeiten (TTFB) (ms),Ersparnis durch Vermeidung mehrfacher Seitenumleitungen (ms),Ersparnis durch Vorabladung wichtiger Anforderungen (ms),Ersparnis durch Verwendung von Videoformaten für animierte Inhalte (ms),Gesamteinsparung bei der Bildoptimierung (ms),Vermeiden Sie die Bereitstellung von altem JavaScript für moderne Browser-Einsparungen (ms),Bildelemente haben keine explizite Breite und Höhe,Vermeiden Sie große Layoutverschiebungen,Viewport,Tippziele,Inhaltsbreite,Schriftanzeigegröße,Alternativer Mobil-Link,Kodierte Adresse der URL,Crawlzeitstempel
https://www.campixx.de/glossar/alt-attribute/,text/html; charset=UTF-8,200,OK,Indexierbar,,Alt Attribute | Das musst du wissen! | CAMPIXX,46,415,Hier erfährst du alles zum Thema Alt Attribute. Schlau dich auf!,64,400,,,ALT ATTRIBUTE,13,Wie sieht ein gutes Alt-Attribut für SEO aus?,45,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/glossar/alt-attribute/,,,,,,786210,128899,128899,"39,624",,1427,250,"5,708","52,650",Relativ schwer,"1,353",2,2,2,9,5,0,"0,250",69,34,0,6,6,0,,,,,6e7e78feb4fb655114fa3a5447914e8f,"3,119","Wed, 29 May 2024 08:01:24 GMT",,,,de-DE,1.1,1.110,63.434,"1,70%",3,35,"2747,008","8829,011","6226,022","37189,109","9777,046","0,000",2311254,2568,159,4941044,239031,4,221500,14,136904,4,3509927,78,509179,30,0,0,324503,29,3636159,71,,,,,,,1232,0,0,0,0,0,0,260,150,0,0,926,0,,0,150,0,,,100,100,,,,https://www.campixx.de/glossar/alt-attribute/,2024-05-30 20:06:04
https://www.campixx.de/tools/kiwihr/,text/html; charset=UTF-8,200,OK,Indexierbar,,"KiwiHR | Erfahrungen, Preise & Features | CAMPIXX",49,453,"Welche Vorteile bietet das KiwiHR Buchhaltungs Tool? Erfahrungen, Preise und Features",85,558,,,KiwiHR,6,HR Tool,7,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/tools/kiwihr/,,,,,,923933,147710,147710,"45,407",,1481,298,"4,970","31,791",Schwer,"1,299",3,2,1,7,2,0,"0,100",73,38,0,10,10,0,,,,,14b325834bd535670c19e8c12520f341,"0,103","Wed, 29 May 2024 07:01:55 GMT",,,,de-DE,1.1,455,39.294,"1,20%",9,35,"3013,013","6184,098","16021,812","27045,980","4153,893","0,000",1682695,7010,156,3922280,219258,3,173613,18,88506,3,2560529,76,601195,34,0,0,279179,22,2555510,59,,,,,,,1250,0,0,450,0,0,150,3960,450,750,0,0,0,,0,900,0,,,100,100,,,,https://www.campixx.de/tools/kiwihr/,2024-05-30 20:21:10
https://www.campixx.de/marketing-events/amz_hacking-live/,text/html; charset=UTF-8,200,OK,Indexierbar,,AMZ_Hacking Live | Berlin | Erfahrungen & Infos | CAMPIXX,57,522,AMZ_Hacking Live | Berlin | Konferenz & Messe | Erfahrungen | Informationen | Videos | Recaps | Preise | Programm,113,723,,,AMZ_HACKING LIVE,16,EVENT-KALENDER,14,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/marketing-events/amz_hacking-live/,,,,,,960186,151815,151815,"46,669",,562,158,"3,557","42,605",Schwer,"0,479",2,2,1,39,18,0,"0,900",71,37,0,10,10,0,,,,,be735e989349486b4efb9fc44ab3e788,"7,193","Wed, 29 May 2024 08:00:34 GMT",,,,de-DE,1.1,303,25.910,"1,20%",9,32,"2983,018","7857,484","10617,055","27736,387","5623,969","0,000",1625723,4502,147,3804340,223000,3,113245,14,88507,3,2559337,76,543348,31,0,0,276903,20,2554338,54,,,,,,,1262,0,0,0,0,0,0,1200,0,1020,0,1020,0,,0,0,0,,,100,100,,,,https://www.campixx.de/marketing-events/amz_hacking-live/,2024-05-30 20:03:23
https://www.campixx.de/verzeichnis/themen/360-grad-online-marketing/germany/nordrhein-westfalen/essen/,text/html; charset=UTF-8,200,OK,Indexierbar,,"360° Online-Marketing Agenturen in Essen, Nordrhein-Westfalen, Deutschland - CAMPIXX",84,786,"Hier findest du eine Übersicht von 360° Online-Marketing Agenturen in Essen, Nordrhein-Westfalen, Deutschland. Kostenlos deine passende 360° Online-Marketing Agentur finden!",173,1130,,,360° Online-Marketing AGENTUREN in Essen,40,Agentur-Verzeichnis,19,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/verzeichnis/themen/360-grad-online-marketing/germany/nordrhein-westfalen/essen/,,,,,,785501,127101,127101,"39,071",,493,165,"2,988","15,726",Sehr schwer,"0,658",5,6,1,7,2,0,"0,100",77,38,0,5,5,0,,,,,c01a098d63b1efaf2d0f29cf83295b80,"0,104","Wed, 29 May 2024 07:20:20 GMT",,,,de-DE,1.1,376,19.789,"1,90%",11,42,"2683,006","5251,607","13489,543","17253,041","1392,848","0,000",959762,4916,118,2699915,159771,2,75936,11,40111,2,1580652,66,613143,27,0,0,230302,10,1453025,32,,,,,,,1056,0,0,0,0,0,0,2960,0,900,0,0,0,,0,0,0,,,100,100,,,,https://www.campixx.de/verzeichnis/themen/360-grad-online-marketing/germany/nordrhein-westfalen/essen/,2024-05-30 20:28:22
https://www.campixx.de/verzeichnis/sacro-agency/,text/html; charset=UTF-8,200,OK,Indexierbar,,Sacro Agency | Webdesign Agentur | CAMPIXX,42,410,"Wir bei Sacro Agency bringen Design und Technologie zusammen. Unsere Agentur spezialisiert sich auf intuitive Websites, markante Branding-Lösungen und innovative 3D-Designs, um Ihr digitales Erlebnis zu optimieren. Mit einem agilen Ansatz und maßgeschneiderter Beratung wird Ihr Online-Auftritt so einzigartig wie Ihr Business. Kurz gesagt: Wir digitalisieren Ihren Markenauftritt – effektiv, stilvoll und mit Nachdruck.",420,2666,,,Sacro Agency,12,CES Community Engagement Score,30,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/verzeichnis/sacro-agency/,,,,,,795537,128823,128823,"39,601",,304,117,"2,598","44,460",Schwer,"0,345",3,2,1,8,4,0,"0,200",74,38,0,10,9,0,,,,,ea5a28e0219a32912f1102a2589ce15f,"0,104","Thu, 30 May 2024 17:00:38 GMT",,,,de-DE,1.1,479,9.832,"4,90%",6,30,"3769,429","8373,804","13837,639","20430,885","5408,500","0,001",978745,5190,165,2893860,161474,2,172931,45,44332,4,1666734,74,613145,27,0,0,235244,13,1605109,73,,,,,,,1470,0,0,0,0,0,0,2560,0,1010,0,0,0,,0,0,150,,,100,100,,,,https://www.campixx.de/verzeichnis/sacro-agency/,2024-05-30 20:19:09
https://www.campixx.de/seo-strategie/seo-fuer-china-marcus-pentzek/,text/html; charset=UTF-8,200,OK,Indexierbar,,SEO für China | Marcus Pentzek | CAMPIXX,40,382,"Im Oktober 2020 erschienene Baidu-Rankingfaktoren-Korrelationsstudien und eigene Erfahrung finden zusammen und helfen dir, erste Schritte im SEO für",148,972,,,SEO für China | Marcus Pentzek,30,SEO für China | Marcus Pentzek,30,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/seo-strategie/seo-fuer-china-marcus-pentzek/,,,,,,764472,122267,122267,"37,585",,288,99,"2,909","49,076",Schwer,"0,319",3,2,1,16,6,0,"0,300",73,38,0,9,8,0,,,,,1655418a61e619bbcf5edde48f76ab8f,"0,126","Thu, 30 May 2024 04:14:46 GMT",,,,de-DE,1.1,610,7.492,"8,10%",2,40,"2796,008","5727,386","14931,729","16566,027","1438,500","0,000",1050906,7482,121,2541917,154687,2,199377,17,40110,2,1571183,70,346275,20,0,0,230285,10,1452872,34,,,,,,,1223,0,0,300,0,0,150,3600,300,600,0,1159,0,,0,600,150,,,100,100,,,,https://www.campixx.de/seo-strategie/seo-fuer-china-marcus-pentzek/,2024-05-30 20:15:44
https://www.campixx.de/seo-strategie/,text/html; charset=UTF-8,200,OK,Indexierbar,,SEO-Strategie | Einfach lernen! | CAMPIXX,41,369,Wie du eine tolle SEO-Strategie erstellst ✓ Lern-Videos ✓ Sessions & Live-Streams ✓,83,519,,,SEO-STRATEGIE,13,"1. Hey, weißt du eigentlich, was mit SEO-Strategie gemeint ist?",63,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/seo-strategie/,https://www.campixx.de/seo-strategie/page/2/,,,,,818979,127935,127935,"39,328",,847,245,"3,457","64,990",Normal,"0,774",2,1,2,36,32,0,"1,600",142,71,0,7,6,0,,,,,be3e9a9797e852ac48248d9d2cf3c1aa,"0,115","Wed, 29 May 2024 08:11:25 GMT",,,,de-DE,1.1,7,7.004,"0,10%",20,41,"2794,005","5032,789","16193,723","17700,223","1538,000","0,000",1114598,7203,129,2782209,160113,2,243647,15,40111,2,1583697,71,523807,29,0,0,230834,10,1454583,34,,,,,,,1263,0,0,450,0,0,150,4140,450,750,0,0,0,,0,900,0,,,100,100,,,,https://www.campixx.de/seo-strategie/,2024-05-30 20:02:45
https://www.campixx.de/wayne-podcast/brightonseo-recap/,text/html; charset=UTF-8,200,OK,Indexierbar,,BrightonSEO Konferenz Recap | Nina Roser | WAYNE #183,53,511,Recap und Insights zur BrightonSEO im April 2023? Interview mit Nina Roser,74,480,,,BrightonSEO Recap | Nina Roser | WAYNE#183,42,Links/Empfehlungen,18,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/wayne-podcast/brightonseo-recap/,,,,,,803882,126801,126801,"38,979",,286,105,"2,724","56,168",Relativ schwer,"0,297",2,2,1,13,5,0,"0,250",70,36,0,13,12,0,,,,,9c9747637c6df678b11d9631c31d75f3,"1,101","Wed, 29 May 2024 08:04:24 GMT",,,,de-DE,1.1,103,6.620,"1,60%",10,34,"3452,007","5945,840","17326,041","18463,594","3627,500","0,000",1215394,7946,131,3030451,284265,3,345894,16,47494,4,1627827,68,468095,27,0,0,256876,13,1766489,44,,,,,,,1876,0,0,210,0,0,300,4650,160,750,0,0,0,,0,370,0,,,100,100,,,,https://www.campixx.de/wayne-podcast/brightonseo-recap/,2024-05-30 20:05:12
https://www.campixx.de/marketing-events/media-design-events/,text/html; charset=UTF-8,200,OK,Indexierbar,,"Beliebte Media & Design Events, Konferenzen, Messen in 2024 | CAMPIXX",69,650,"Die wichtigsten und besten Media & Design Events, Konferenzen und Messen für dich im Jahr 2024 | Infos, Videos, Bilder & Erfahrungen!",133,858,,,"Die besten Media & Design Konferenzen, Events & Messen",54,"Die besten Media & Design Konferenzen, Events & Messen",54,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/marketing-events/media-design-events/,,,,,,774202,122883,122883,"37,775",,566,145,"3,903","32,328",Schwer,"0,614",2,2,1,16,12,0,"0,600",98,49,0,5,5,0,,,,,530283ffb7bd4dea802c0fd43c867c52,"0,107","Wed, 29 May 2024 08:01:00 GMT",,,,de-DE,1.1,84,6.348,"1,30%",19,41,"2589,005","4629,144","12494,031","18011,172","1920,500","0,000",1075956,5094,120,2699181,154620,2,242193,12,40110,2,1569434,68,461973,26,0,0,230851,10,1454280,30,,,,,,,1074,0,0,190,0,0,0,3000,0,790,0,0,0,,0,190,40,,,100,100,,,,https://www.campixx.de/marketing-events/media-design-events/,2024-05-30 20:03:56
https://www.campixx.de/speaker/bjoern-darko/,text/html; charset=UTF-8,200,OK,Indexierbar,,BJÖRN DARKO | Speaker @ CAMPIXX,31,334,Björn Darko ist bekannt als der Schöpfer und Moderator des beliebten SEOPRESSO Podcasts. In seiner Rolle als Director Product SEO bei der Aviv Group,148,957,,,BJÖRN DARKO,11,CES Community Engagement Score,30,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://www.campixx.de/speaker/bjoern-darko/,,,,,,767795,122791,122791,"37,746",,224,83,"2,699","47,737",Schwer,"0,261",2,2,1,6,2,0,"0,100",68,34,0,9,9,0,,,,,237c6c6959e813437f695577e979639d,"7,140","Thu, 30 May 2024 17:03:05 GMT",,,,de-DE,1.1,431,6.187,"7,00%",4,43,"2668,005","5579,116","11371,019","16594,135","1136,500","0,000",1195347,6093,115,2741514,155139,2,402799,15,40110,2,1566359,66,346276,20,0,0,230831,10,1454408,32,,,,,,,1194,0,0,0,0,0,0,2740,310,750,0,949,0,,0,310,150,,,100,100,,,,https://www.campixx.de/speaker/bjoern-darko/,2024-05-30 19:59:00
